exp_id	symbol	lookforward_bars	entry_threshold	num_trades	win_rate	sharpe	return_dd_ratio	total_return_pct	max_dd_pct	profit_factor	test_auc	avg_hold_bars	status	elapsed_s
WG_CHFJPY_lf030_et62	CHFJPY	30	0.62	107	0.45794392523364486	-0.0749560392469753	-0.17199138321688698	-0.7542275289265654	4.3852634638995776	0.9874917282665054	0.49874424372135967	30.0	OK	57.9
WG_CHFJPY_lf060_et54	CHFJPY	60	0.54	108	0.5648148148148148	0.8180563389192315	0.8303038006908485	5.738252109140052	6.911027149780091	1.1877815469837991	0.49608101246327074	60.0	OK	57.2
WG_CHFJPY_lf030_et65	CHFJPY	30	0.65	84	0.47619047619047616	-0.5649981876650944	-0.5691462211419924	-2.543032415490587	4.468153035239328	0.9084714197288778	0.49874424372135967	30.0	OK	58.2
WG_CHFJPY_lf060_et55	CHFJPY	60	0.55	105	0.5333333333333333	0.5718180557642177	0.5519207475243025	3.598740251787791	6.5203931324022735	1.1280076002267967	0.49608101246327074	60.0	OK	57.6
WG_CHFJPY_lf060_et56	CHFJPY	60	0.57	96	0.59375	1.7092074497459202	2.5178322999655225	10.66495402762515	4.235768215290268	1.4561440813094222	0.49608101246327074	60.0	OK	57.2
WG_CHFJPY_lf060_et60	CHFJPY	60	0.6	79	0.5316455696202531	0.9276524560348939	0.8662418639313083	4.959537456937091	5.7253495397105105	1.2197558304124367	0.49608101246327074	60.0	OK	57.0
WG_CHFJPY_lf060_et57	CHFJPY	60	0.58	89	0.550561797752809	1.1149498520160621	1.2838211436473157	6.442889513313732	5.018525785460726	1.2694904972240788	0.49608101246327074	60.0	OK	57.6
WG_CHFJPY_lf060_et62	CHFJPY	60	0.62	73	0.5205479452054794	0.43789765479422693	0.35977165756511525	1.9485476273269908	5.416067626100653	1.097575811358972	0.49608101246327074	60.0	OK	57.5
WG_CHFJPY_lf120_et55	CHFJPY	120	0.55	59	0.5423728813559322	0.2782165165179007	0.16297240085018755	1.9757456221624503	12.12319148429712	1.087318640375361	0.4813950411578864	120.0	OK	57.3
WG_CHFJPY_lf120_et54	CHFJPY	120	0.54	61	0.5573770491803278	0.5774192685419138	0.4421916093476039	4.830879722519099	10.924856149230044	1.1884769729691058	0.4813950411578864	120.0	OK	57.8
WG_CHFJPY_lf060_et65	CHFJPY	60	0.65	61	0.4918032786885246	0.19132122958613518	0.12686762721249287	0.5761683426538822	4.541492225505625	1.0410118068062977	0.49608101246327074	60.0	OK	58.5
WG_CHFJPY_lf120_et56	CHFJPY	120	0.57	57	0.49122807017543857	0.46858751726450604	0.3517141350412909	3.3009893262871515	9.385432649443045	1.1456170215487886	0.4813950411578864	120.0	OK	58.2
WG_CHFJPY_lf120_et57	CHFJPY	120	0.58	56	0.5	1.1391411569599763	1.170348848170978	8.147830222026009	6.961881694299477	1.3933802253798455	0.4813950411578864	120.0	OK	57.6
WG_CHFJPY_lf120_et60	CHFJPY	120	0.6	53	0.4716981132075472	0.5943154082901272	0.3620535507124207	3.605209633806039	9.957669595318123	1.1904232473286105	0.4813950411578864	120.0	OK	57.3
WG_CHFJPY_lf120_et65	CHFJPY	120	0.65	45	0.5333333333333333	1.1299980216472107	0.868041073858695	6.768743366194641	7.797722446595307	1.4051537986927067	0.4813950411578864	120.0	OK	57.6
WG_CHFJPY_lf120_et62	CHFJPY	120	0.62	49	0.5510204081632653	1.3663288762749315	1.1841433526494327	8.519048120403028	7.194270948143474	1.5000401629896414	0.4813950411578864	120.0	OK	58.4
WG_USDJPY_lf030_et54	USDJPY	30	0.54	293	0.5733788395904437	-0.12994450015861303	-0.17489311420903356	-2.6000467194011834	14.866489919629359	0.9786990308990833	0.4824924958628607	30.0	OK	57.4
WG_USDJPY_lf030_et55	USDJPY	30	0.55	275	0.56	0.5770911566880252	0.54267365788984	6.757732142101047	12.452662928910458	1.099675622357493	0.4824924958628607	30.0	OK	57.6
WG_USDJPY_lf030_et56	USDJPY	30	0.57	259	0.5096525096525096	-0.12030920755403214	-0.15641280744249839	-2.4582935299440667	15.716702296567387	0.9806059127232591	0.4824924958628607	30.0	OK	58.4
WG_USDJPY_lf030_et60	USDJPY	30	0.6	229	0.5458515283842795	0.14573930653154582	0.08340425029238131	0.831052253514053	9.964147517671131	1.023936874732134	0.4824924958628607	30.0	OK	56.9
WG_USDJPY_lf030_et62	USDJPY	30	0.62	209	0.5502392344497608	0.5289937725106738	0.49061750345633814	4.677052646876545	9.532991819344605	1.0886412432285353	0.4824924958628607	30.0	OK	57.3
WG_USDJPY_lf060_et55	USDJPY	60	0.55	143	0.5944055944055944	0.875045757965762	0.9266953173353779	10.505201834796107	11.336198250146328	1.2213529015374844	0.49165156944339716	60.0	OK	56.7
WG_USDJPY_lf030_et57	USDJPY	30	0.58	250	0.524	0.10626556370357457	0.038941081679578424	0.42667043413837646	10.956820297113936	1.0178032488383706	0.4824924958628607	30.0	OK	58.9
WG_USDJPY_lf060_et54	USDJPY	60	0.54	144	0.5833333333333334	0.6581303664435453	0.686438799460994	7.914764542108044	11.530182367784107	1.162929105375766	0.49165156944339716	60.0	OK	57.7
WG_USDJPY_lf030_et65	USDJPY	30	0.65	178	0.5561797752808989	0.5140583349721529	0.562161699535066	4.0775503447055605	7.253340716875385	1.0845169532236587	0.4824924958628607	30.0	OK	58.3
WG_USDJPY_lf060_et56	USDJPY	60	0.57	140	0.5785714285714286	0.7827552750243091	1.0128379804130485	9.346917587803416	9.228443017106864	1.187479878986951	0.49165156944339716	60.0	OK	57.3
WG_USDJPY_lf060_et57	USDJPY	60	0.58	137	0.5693430656934306	0.590238377615341	0.8571321255436581	6.5274122075974494	7.61540958864104	1.138738244269717	0.49165156944339716	60.0	OK	57.0
WG_USDJPY_lf060_et60	USDJPY	60	0.6	129	0.5736434108527132	0.7166847196413257	1.09712855932898	8.185457946965213	7.460801086038231	1.181640535616861	0.49165156944339716	60.0	OK	56.4
WG_USDJPY_lf060_et65	USDJPY	60	0.65	103	0.5533980582524272	0.9765964400905239	1.50928976747777	8.894836427960563	5.893392123651014	1.239226151401097	0.49165156944339716	60.0	OK	54.6
WG_USDJPY_lf060_et62	USDJPY	60	0.62	114	0.5614035087719298	1.0441197766278552	1.5750273397304613	11.499691091258967	7.301264429623769	1.271810501403179	0.49165156944339716	60.0	OK	55.5
WG_USDJPY_lf120_et54	USDJPY	120	0.54	75	0.6533333333333333	1.3854020752307443	1.6067450921631523	16.591776892840414	10.326328036579216	1.5052925815625586	0.48397712411922	120.0	OK	55.1
WG_USDJPY_lf120_et55	USDJPY	120	0.55	75	0.6533333333333333	1.34778588529566	1.587610489395891	16.394186707816004	10.326328036579195	1.4891821653996762	0.48397712411922	120.0	OK	54.1
WG_USDJPY_lf120_et56	USDJPY	120	0.57	74	0.6621621621621622	1.4750267592230113	1.6757785858161063	18.694486163107847	11.1557017862259	1.5317827671041897	0.48397712411922	120.0	OK	53.4
WG_USDJPY_lf120_et65	USDJPY	120	0.65	61	0.6065573770491803	1.4342125166709165	2.6964118154222674	14.982325232938742	5.556393555037311	1.4939577103974293	0.48397712411922	120.0	OK	52.4
WG_USDJPY_lf120_et57	USDJPY	120	0.58	73	0.6438356164383562	1.5277092864760289	1.9380335778299214	20.005411236232142	10.322530767827482	1.5483387107219462	0.48397712411922	120.0	OK	53.5
WG_USDJPY_lf120_et60	USDJPY	120	0.6	70	0.6142857142857143	1.316292318852114	1.8407304494611698	16.01925296614224	8.702660930518912	1.4567870004560952	0.48397712411922	120.0	OK	53.9
WG_USDJPY_lf120_et62	USDJPY	120	0.62	69	0.6231884057971014	1.3813831659897413	2.250663125984852	17.234146544152985	7.657363887637166	1.478076720585377	0.48397712411922	120.0	OK	53.5
