exp_id	symbol	n_estimators	max_depth	min_samples_leaf	lookforward_bars	conf_threshold	num_trades	win_rate	sharpe	return_dd_ratio	total_return_pct	max_dd_pct	profit_factor	avg_hold_h1_bars	train_auc	test_auc	status	elapsed_s
RF_NZDUSD_h24_n200_d8_c50	NZDUSD	200	8	20	24	0.5	517	0.47195357833655704	-1.2267302605371353	-0.8620887529701836	-22.26745515273263	25.82965509759153	0.8146799174815299	24.0	0.7337297525080304	0.5002682030473995	OK	632.8
RF_NZDUSD_h24_n200_d8_c55	NZDUSD	200	8	20	24	0.55	173	0.5028901734104047	0.11737874006523269	0.05884461962854013	0.45107419766501344	7.665513015674906	1.0190089676324958	24.0	0.7337297525080304	0.5002682030473995	OK	628.2
RF_NZDUSD_h24_n200_d8_c60	NZDUSD	200	8	20	24	0.6	86	0.46511627906976744	0.07600432450340464	0.013244871024709337	0.0985030373609197	7.437070332897513	1.0121896045321785	24.0	0.7337297525080304	0.5002682030473995	OK	628.0
RF_NZDUSD_h6_n300_d12_c50	NZDUSD	300	12	15	6	0.5	2070	0.43091787439613527	-4.190833168850096	-0.9867163048593203	-58.19985673542838	58.98337389258622	0.6898029859877681	6.0	0.8804847099706805	0.5068812839485278	OK	894.1
RF_NZDUSD_h6_n300_d12_c55	NZDUSD	300	12	15	6	0.55	746	0.3900804289544236	-4.278125261729997	-0.9083974904310067	-24.19497766191424	26.634791395597613	0.6812984044536264	6.0	0.8804847099706805	0.5068812839485278	OK	897.8
RF_NZDUSD_h6_n300_d12_c60	NZDUSD	300	12	15	6	0.6	185	0.42702702702702705	-4.0089708084937286	-0.7485329450692862	-5.3439282878634975	7.139202520162755	0.69750436100777	6.0	0.8804847099706805	0.5068812839485278	OK	893.7
RF_NZDUSD_h24_n300_d12_c50	NZDUSD	300	12	15	24	0.5	517	0.4661508704061896	-1.312671540975908	-0.9972811809595951	-23.57506024065006	23.639331304703727	0.8032568429930734	24.0	0.878499340880313	0.4976461814744211	OK	896.0
RF_NZDUSD_h24_n300_d12_c55	NZDUSD	300	12	15	24	0.55	250	0.504	0.16221799994041525	0.11918547211722583	1.1023684306761705	9.249184578401696	1.0269401683256423	24.0	0.878499340880313	0.4976461814744211	OK	929.3
RF_NZDUSD_h24_n300_d12_c60	NZDUSD	300	12	15	24	0.6	106	0.4528301886792453	-1.4223948868275182	-0.7391535318343935	-4.935649166697664	6.677434327410467	0.7877182710660457	24.0	0.878499340880313	0.4976461814744211	OK	916.7
RF_NZDUSD_h6_n200_dNone_c50	NZDUSD	200	None	30	6	0.5	2070	0.43719806763285024	-3.095043470712972	-0.9466067868521629	-47.61646082330703	50.302260119695895	0.7608648989837479	6.0	0.9706681210604187	0.50874085670614	OK	713.6
RF_NZDUSD_h6_n200_dNone_c55	NZDUSD	200	None	30	6	0.55	1209	0.43507030603804797	-3.5642757763057813	-0.9508631592974249	-33.44592619978503	35.17427915126883	0.7304508632109419	6.0	0.9706681210604187	0.50874085670614	OK	705.7
RF_NZDUSD_h6_n200_dNone_c60	NZDUSD	200	None	30	6	0.6	302	0.4105960264900662	-4.165485646430339	-0.952507213894295	-8.539124466181514	8.96489217259529	0.7046772186122664	6.0	0.9706681210604187	0.50874085670614	OK	680.5
RF_NZDUSD_h24_n200_dNone_c50	NZDUSD	200	None	30	24	0.5	517	0.46421663442940037	-0.8269967159119392	-0.6761972499690986	-15.876724032467049	23.479427094967622	0.8713958340468193	24.0	0.968526814000346	0.4966299907967243	OK	682.5
RF_NZDUSD_h24_n200_dNone_c55	NZDUSD	200	None	30	24	0.55	427	0.4613583138173302	-1.02178165152674	-0.741677371344665	-16.067383609011266	21.663575335837756	0.8455402122661815	24.0	0.968526814000346	0.4966299907967243	OK	680.4
RF_NZDUSD_h24_n200_dNone_c60	NZDUSD	200	None	30	24	0.6	179	0.4581005586592179	-0.6386958250964857	-0.5927533776506866	-4.3584095480744605	7.352821109764977	0.902132058834259	24.0	0.968526814000346	0.4966299907967243	OK	680.9
RF_USDCAD_h6_n200_d8_c50	USDCAD	200	8	20	6	0.5	2070	0.3681159420289855	-7.590394212917488	-0.9982220597721678	-58.60325959435293	58.70763826610727	0.49672906045080445	6.0	0.6852078542152293	0.5490385723946035	OK	613.9
RF_USDCAD_h6_n200_d8_c55	USDCAD	200	8	20	6	0.55	1108	0.3546931407942238	-8.414319006849182	-1.0023785978171245	-36.590969988668576	36.50414131781402	0.4549339552253982	6.0	0.6852078542152293	0.5490385723946035	OK	625.4
RF_USDCAD_h6_n200_d8_c60	USDCAD	200	8	20	6	0.6	52	0.23076923076923078	-16.091049711218865	-1.041831111661445	-2.398988023931614	2.3026649877117444	0.2155125817097644	6.0	0.6852078542152293	0.5490385723946035	OK	625.4
RF_USDCAD_h24_n200_d8_c50	USDCAD	200	8	20	24	0.5	517	0.39264990328820115	-3.0301641155579726	-1.0064832259801726	-28.889448747758916	28.703358388933577	0.6039884638177841	24.0	0.7424024725423531	0.47100625600308177	OK	630.1
RF_USDCAD_h24_n200_d8_c55	USDCAD	200	8	20	24	0.55	67	0.43283582089552236	-2.3238594129258257	-0.7258239882609857	-3.216221835988009	4.431131910773313	0.6733516385659105	24.0	0.7424024725423531	0.47100625600308177	OK	601.9
RF_USDJPY_h24_n200_d8_c55	USDJPY	200	8	20	24	0.55	101	0.5148514851485149	0.025743082345487625	-0.030997235932023217	-0.2111848014816231	6.813020423651654	1.0044294170699946	24.0	0.7472331033100675	0.48750574830860827	OK	586.2
RF_USDJPY_h6_n200_d8_c60	USDJPY	200	8	20	6	0.6	7	0.42857142857142855	-24.805931157112116	-1.0404237158348235	-1.8212726675981061	1.7505105274698	0.06208333017248655	6.0	0.7033170314842545	0.503447089564685	OK	592.0
RF_USDJPY_h24_n200_d8_c50	USDJPY	200	8	20	24	0.5	517	0.4990328820116054	0.11078892150981819	0.10779396931759837	1.249143261382435	11.588248111562033	1.019402882266542	24.0	0.7472331033100675	0.48750574830860827	OK	597.6
RF_USDJPY_h6_n200_d8_c50	USDJPY	200	8	20	6	0.5	2070	0.4792270531400966	-0.5825589471492553	-0.6126320882668838	-12.556479525117725	20.49595469385157	0.9455184573814921	6.0	0.7033170314842545	0.503447089564685	OK	620.3
RF_USDJPY_h6_n200_d8_c55	USDJPY	200	8	20	6	0.55	284	0.4823943661971831	-0.278299634516538	-0.17566670609060678	-1.218845769337984	6.938399406825092	0.9749006498988373	6.0	0.7033170314842545	0.503447089564685	OK	622.6
RF_USDJPY_h24_n200_d8_c60	USDJPY	200	8	20	24	0.6	49	0.5102040816326531	0.7073462600840167	0.3146615600715211	1.9670458973143568	6.251306632012047	1.1390577996194744	24.0	0.7472331033100675	0.48750574830860827	OK	636.0
RF_USDJPY_h6_n300_d12_c50	USDJPY	300	12	15	6	0.5	2070	0.4932367149758454	-0.07780151218745765	-0.12940525577826548	-2.697971417400491	20.849009579822912	0.992537892896877	6.0	0.9091211221954831	0.5108596399103915	OK	816.7
RF_USDJPY_h6_n300_d12_c55	USDJPY	300	12	15	6	0.55	547	0.49177330895795246	-0.5526543963812836	-0.3900562089895772	-3.8962069600510185	9.988834609616816	0.9494854547774746	6.0	0.9091211221954831	0.5108596399103915	OK	899.1
RF_USDJPY_h6_n200_dNone_c50	USDJPY	200	None	30	6	0.5	2070	0.47632850241545893	-0.5536515605679065	-0.5614244178737786	-12.019563245213682	21.409049664662007	0.9481657222828861	6.0	0.9786805380574193	0.5048066124548536	OK	725.9
RF_USDJPY_h6_n200_dNone_c55	USDJPY	200	None	30	6	0.55	963	0.4953271028037383	-1.4714292393551465	-0.8514521754974281	-14.689010620682419	17.251715414434088	0.8711245818139858	6.0	0.9786805380574193	0.5048066124548536	OK	722.3
RF_USDJPY_h6_n300_d12_c60	USDJPY	300	12	15	6	0.6	22	0.6818181818181818	8.982498558502895	1.724771789951273	2.5955853502709125	1.504886249527679	2.260738672992711	6.0	0.9091211221954831	0.5108596399103915	OK	945.3
RF_USDJPY_h24_n300_d12_c50	USDJPY	300	12	15	24	0.5	517	0.4912959381044487	-0.5293498394376267	-0.5737790229687619	-10.992977281663363	19.158904110479916	0.9122240419574285	24.0	0.9003729071187346	0.48545562660405883	OK	948.6
RF_USDJPY_h24_n300_d12_c55	USDJPY	300	12	15	24	0.55	226	0.4911504424778761	-0.31801503052030033	-0.24021546969888585	-3.7789947357521947	15.73168764063875	0.9465354066194731	24.0	0.9003729071187346	0.48545562660405883	OK	944.7
RF_USDJPY_h6_n200_dNone_c60	USDJPY	200	None	30	6	0.6	69	0.5797101449275363	-1.5452862737562494	-0.35325377403740754	-1.3485425607401957	3.817489464662854	0.8647059461574721	6.0	0.9786805380574193	0.5048066124548536	OK	735.2
RF_USDJPY_h24_n300_d12_c60	USDJPY	300	12	15	24	0.6	72	0.5416666666666666	1.4366091706613886	0.9821914739769372	6.080368345516618	6.190614057050337	1.2763364229845569	24.0	0.9003729071187346	0.48545562660405883	OK	941.5
RF_USDJPY_h24_n200_dNone_c50	USDJPY	200	None	30	24	0.5	517	0.4796905222437137	-0.7870731169962188	-0.6991652607217876	-15.489203647983995	22.15385191191224	0.8723348916156568	24.0	0.9775729345499611	0.49150030559131624	OK	735.9
RF_USDJPY_h24_n200_dNone_c55	USDJPY	200	None	30	24	0.55	431	0.5197215777262181	0.2874858398213237	0.35134318409983867	4.358041056646544	12.403943647895419	1.0531467448270735	24.0	0.9775729345499611	0.49150030559131624	OK	659.9
RF_USDJPY_h24_n200_dNone_c60	USDJPY	200	None	30	24	0.6	177	0.5254237288135594	1.035631145028234	0.8590207114788392	8.6723902986386	10.095670782732032	1.1999075062041678	24.0	0.9775729345499611	0.49150030559131624	OK	664.4
RF_AUDCHF_h6_n200_d8_c50	AUDCHF	200	8	20	6	0.5	2070	0.4033816425120773	-5.920822246238033	-0.9895826669650046	-65.29397908340077	65.98132855707124	0.5989243364909895	6.0	0.6799699958024439	0.5541621577369973	OK	619.8
RF_AUDCHF_h6_n200_d8_c55	AUDCHF	200	8	20	6	0.55	1004	0.3794820717131474	-5.516727226641663	-0.9894806141545818	-34.789797287303635	35.15965526725175	0.6174875015134577	6.0	0.6799699958024439	0.5541621577369973	OK	623.1
RF_AUDCHF_h6_n200_d8_c60	AUDCHF	200	8	20	6	0.6	497	0.43661971830985913	-3.4477636894054036	-0.7169885642975238	-9.735644345727701	13.578521095753166	0.7383971651711614	6.0	0.6799699958024439	0.5541621577369973	OK	621.8
RF_AUDCHF_h24_n200_d8_c50	AUDCHF	200	8	20	24	0.5	517	0.44680851063829785	-1.7353430107601562	-0.9666599096424874	-26.28769960877886	27.19436209835286	0.7569804691012376	24.0	0.7332587030479917	0.4799387366731629	OK	625.4
RF_AUDCHF_h24_n200_d8_c55	AUDCHF	200	8	20	24	0.55	148	0.38513513513513514	-3.3795447460314856	-0.9458532706671795	-15.630019576798249	16.524782502230238	0.5532068837747252	24.0	0.7332587030479917	0.4799387366731629	OK	627.8
RF_AUDCHF_h24_n200_d8_c60	AUDCHF	200	8	20	24	0.6	43	0.46511627906976744	-2.4016163749350454	-0.5760338378984765	-2.9278625339551945	5.082796081280241	0.6717587349190697	24.0	0.7332587030479917	0.4799387366731629	OK	607.8
RF_AUDCHF_h6_n200_dNone_c50	AUDCHF	200	None	30	6	0.5	2070	0.39855072463768115	-6.484465579739661	-0.9997873226682951	-68.6145139434883	68.62910979943773	0.5696427175183028	6.0	0.9296670274331225	0.5539909195542471	OK	880.3
